INSERT INTO video_text (id, video_id, segment_number, full_text, starttime, endtime) VALUES
(1, 1, 1, 'let''s get into today''s the first topic that we have a iPhone', '00:00:00', '00:00:59'),
(2, 1, 2, 'safety I keep a truck fortunately you know these accidents don''t happen every day but they do happen and a lot of times when investigation is done what the main route seems to be that you know everybody makes somebody''s taking care of', '00:01:00', '00:01:59'),
(3, 1, 3, 'one home button taking a shower you can slip you can fall dangerous place right now but', '00:02:00', '00:02:59'),
(4, 1, 4, 'accident report on surveillance I mean companies for more active ceremony trying to make sure that they don''t repeat that behavior so more and more we''re taking seriously there are penalties', '00:03:00', '00:03:59'),
(5, 1, 5, 'can do that and what I wanted to quickly pivot to was how are initrd is being used by some of these facility management companies to do slip trip fall prevention as well as detection', '00:04:00', '00:04:59'),
(6, 1, 6, 'so both of these data sources outside of combined and a I detect Whenever there is a near me', '00:05:00', '00:05:59'),
(7, 1, 7, 'lyrics of this is available so it''s not expensive Apple watch dimensions', '00:06:00', '00:06:59'),
(8, 1, 8, 'record that let you know why it happened or some action needs to be taken', '00:07:00', '00:07:59'),
(9, 1, 9, 'and there''s a Boxster and you know he Clips on it but then as soon as you trip on it in the office identified it as a trip and then you basically let me know some accident nearby', '00:08:00', '00:08:59'),
(10, 1, 10, 'a picture of that they just manned by 20 people and sometimes you work so if you''re going at night and you working alone it''s a confined space you sleep on', '00:09:00', '00:09:59'),
(11, 1, 11, 'better than workers wearing their boots are not wearing any gloves safety harness or helmets', '00:10:00', '00:10:59'),
(12, 1, 12, 'and then the warning for the headman will still be there now once he''s he''ll wear the helmet example of', '00:11:00', '00:11:59'),
(13, 1, 13, 'thank you very much for interesting very practical examples given on how', '00:12:00', '00:12:59'),
(14, 1, 14, 'lens function globally using big data and AI in finance accounting', '00:13:00', '00:13:59'),
(15, 1, 15, 'how we going to do', '00:14:00', '00:14:59'),
(16, 1, 16, 'IC Transformers', '00:15:00', '00:15:59'),
(17, 1, 17, 'you find a new competition we we saw new competitors to the bangs bangs', '00:16:00', '00:16:59'),
(18, 1, 18, 'creating new work which is allowing accountants what does that mean', '00:17:00', '00:17:59'),
(19, 1, 19, 'into is a receiver where does accountants at the news religious area', '00:18:00', '00:18:59'),
(20, 1, 20, 'I''m here right now', '00:19:00', '00:19:59'),
(21, 1, 21, '', '00:20:00', '00:20:59'),
(22, 1, 22, '', '00:21:00', '00:21:59'),
(23, 1, 23, '', '00:22:00', '00:22:59'),
(24, 1, 24, 'you can also reduce you could use', '00:23:00', '00:23:59'),
(25, 1, 25, '', '00:24:00', '00:24:59'),
(26, 1, 26, '', '00:25:00', '00:25:59'),
(27, 1, 27, '', '00:26:00', '00:26:59'),
(28, 1, 28, 'alright so so it for purpose of this conversation since I''m no longer working in banking sew-in start giving you a whole bunch of the strategies of what bangs are going to be doing pipe or I''ll just show you someday moves of what stations have been doing with a i and we focusing on is this thing called natural language processing or an LP turns human languages into commands that machine can understand so that you for his number to have to learn how to write in SQL query', '00:27:00', '00:27:59'),
(29, 1, 29, 'Fallout Bank can use an AI to in this case a trap boat powered by natural language processing engine to a mutual fund informations to Analyse performance across two products and two learned some Market insights so relationship questions of one of the questions that you be asking on a day-to-day basis to something like what is the nav nav aposento net asset values of that says schroders Asian', '00:28:00', '00:28:59'),
(30, 1, 30, 'am I referring to not the reason for that is because the AI space love and understand that my question is actually and figures or at least incomplete because she called nav is different so I want to look for extradition clause or usdsek class', '00:29:00', '00:29:59'),
(31, 1, 31, 'I can just see no clit instead of asking questions and party can just pick up button and to get this information I can also ask the questions like I''m not listed as one who is the', '00:30:00', '00:30:59'),
(32, 1, 32, 'natural intuition is that of asking for his apartment. This but confident this is how this comes about the next thing I''m going to show you is something that I find Freddy Krueger is called a phone card', '00:31:00', '00:31:59'),
(33, 1, 33, 'so I couldn''t see the question compared with Asian', '00:32:00', '00:32:59'),
(34, 1, 34, 'I''m asking a fairly complex questions which is what is show me all the fixed-income funds in US Dollars buy buy this as a company asset management company is able to take out the key attributes in my sentence so Karen''s into the currency of the u.s. dollars and tell Brendan reply rock into a fixed income', '00:33:00', '00:33:59'),
(35, 1, 35, 'in a pullout articles related to the topics that you about Daniel be interested to the Lord so this is my first demo is a is 2 it''s about how a', '00:34:00', '00:34:59'),
(36, 1, 36, 'okay let''s say what is the revenue in June 2018', '00:35:00', '00:35:59'),
(37, 1, 37, 'the board display Revenue entrance of Malaysian Ringgit but I can also ask for it to be displayed in u.s. dollars', '00:36:00', '00:36:59'),
(38, 1, 38, 'I wouldn''t go through a giant database and calculate and find the highest revenue month for 2018 and and show me the S indeed it is in fact November 2018 and shows me the the revenue for type of the month', '00:37:00', '00:37:59'),
(39, 1, 39, 'Facebook Richard', '00:38:00', '00:38:59'),
(40, 1, 40, 'about 481 2018', '00:39:00', '00:39:59'),
(41, 1, 41, 'customers', '00:40:00', '00:40:59'),
(42, 1, 42, '', '00:41:00', '00:41:59'),
(43, 1, 43, 'why you can''t show you is how without putting together a lot of complex database engineering I can simply use this AI to commotion comprehension to ask questions but in this case I can ask questions I', '00:42:00', '00:42:59'),
(44, 1, 44, 'we know of people looking at this area and incline''s of finding it enormously use food when it comes to applying this new Air Technologies for the bull for internal as well as for facings function so I guess with that has come to the end of my presentation thank you very much', '00:43:00', '00:43:59'),
(45, 1, 45, 'pull up create a word cloud and I could have mentioned this to kind of keep you interested', '00:44:00', '00:44:59'),
(46, 1, 46, '', '00:45:00', '00:45:59'),
(47, 1, 47, '', '00:46:00', '00:46:59'),
(48, 1, 48, 'can you break it', '00:47:00', '00:47:59'),
(49, 1, 49, '', '00:48:00', '00:48:59'),
(50, 1, 50, '', '00:49:00', '00:49:59'),
(51, 1, 51, '', '00:50:00', '00:50:59'),
(52, 1, 52, '', '00:51:00', '00:51:59'),
(53, 1, 53, '', '00:52:00', '00:52:59'),
(54, 1, 54, 'let''s keep this going next we have a Suraj, who is the director of leading Industrial', '00:53:00', '00:53:59'),
(55, 1, 55, 'industry so', '00:54:00', '00:54:59'),
(56, 1, 56, 'I''m taking the decision entering into seamless Swift and complex actions', '00:55:00', '00:55:59'),
(57, 1, 57, 'decision the whole bunch of times do we end up taking in Halifax right now I''ve been to manufacture myself I''ve worked a many many manufacturing companies and we have the multiple types of decisions that we make and I don''t know I want to be sure that I''m taking the right action at the right time should I be there between months 6 months', '00:56:00', '00:56:59'),
(58, 1, 58, 'efficient should I change my business promotion how much should I get back from that money that I should be experimenting operationalizing', '00:57:00', '00:57:59'),
(59, 1, 59, 'no I don''t need to tell you the situation that we''ve all been facing and how that hit manufacturing and revolting the demand disruptions toilet paper flying off the shelves', '00:58:00', '00:58:59'),
(60, 1, 60, 'I need you to predict I need to rapidly forecast you have where my demand changes are coming from I need to dynamically and your life real-time optimize my production processes and my supply chain processes', '00:59:00', '00:59:59'),
(61, 1, 61, 'areas of glebus elephant Technologies involved here and being able to integrate into this technology important having back to where is the value', '01:00:00', '01:00:59'),
(62, 1, 62, 'I''d have to give you a little context around this but this is a this is a moto employees inactive magic Daddy this is this is an occasion where this multi-sensory runs in the factory and the total cost of actually lost production + The Machine back online that''s a million dollars', '01:01:00', '01:01:59'),
(63, 1, 63, 'if you get the conventional wisdom it''s disabled all machines degrade on a smooth curve machine truly behave in the field machine and turn that into a indicator', '01:02:00', '01:02:59'),
(64, 1, 64, 'they were able to increase the life cycle of the machine because if they if you if you do if you do maintain it early you are not you''re not you''re not allowing application to happen in the machine and you didn''t have to replace less parts for this company analytics to be able to predict when', '01:03:00', '01:03:59'),
(65, 1, 65, 'latest of the technology Monica showing Alia Bhatt in a in a different setting on this on this manufacturing line where each piece of plasterboard is and how is beginning to overlap with plasterboard next to it and where is the where is going to become dangerous to get too close to each other', '01:04:00', '01:04:59'),
(66, 1, 66, 'okay let me give another example from the semiconductor industry because it shows you the actual formation of a digital twin often gotten used to the idea of this being the nice 3D representation without thinking about what goes behind what is the likeliest chance of which continent is wrong', '01:05:00', '01:05:59'),
(67, 1, 67, 'if this is the one that caused the problem with that the engineer who is actually doing the repair now has Clarity right on top that says here''s the problem the 98-96 percent probability is my randock and then with the help of the dishes when doesn''t have to go and search for 3 on this particular model motherboard explored that they should win and can give him quick and easy insight into how to get another pair that repair that''s open it', '01:06:00', '01:06:59'),
(68, 1, 68, 'tell you what needs to be done', '01:07:00', '01:07:59'),
(69, 1, 69, 'this is amazing but it is amazing in terms of Bellville great that we can do this and now if you do you run a locomotive on a track and you are you know where you want to send your middle school', '01:08:00', '01:08:59'),
(70, 1, 70, 'actual singing Mother''s Day', '01:09:00', '01:09:59'),
(71, 1, 71, 'do you want to be able to take the results of his models and turn them into decision in this case where do I find my middle school and you also want them to trigger actions within limitations organization xcetera', '01:10:00', '01:10:59'),
(72, 1, 72, 'actuation the operations immediately', '01:11:00', '01:11:59'),
(73, 1, 73, 'one of the things that the a community is developing more than more than the last year the famous is it domain and business understanding and Company''s technology when does excetra understand manufacturing Six Sigma process control Manufacturing', '01:12:00', '01:12:59'),
(74, 1, 74, 'do connect with existing system like a maintenance system and monitoring', '01:13:00', '01:13:59'),
(75, 1, 75, 'Singapore', '01:14:00', '01:14:59'),
